name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Smith","VT17",US,4322.150N,07240.450W,1500ft,3,20,1600ft,75ft,,"VT17, Landable, 02/20 16T, RW width: 75"
"Snow","MA36",US,4239.983N,07051.167W,62ft,2,40,1600ft,100ft,,"PHQ, Private, 04/22 16T, RW width: 100, Fuel: 100LL"
"South Albany","4B0",US,4233.650N,07350.033W,196ft,5,367,2853ft,60ft,122.9,"4B0, RW width: 60, CTAF: 122.9, Fuel: 100LL"
"South Cairo","4NY7",US,4219.750N,07357.650W,400ft,2,10,2500ft,100ft,,"4NY7, Private, RW width: 100"
"South Weymouth","SWEYMOTH",US,4208.917N,07056.383W,161ft,0,,,,,"NZW, 08/26 60A"
"Southbridge","3B0",US,4206.050N,07202.330W,700ft,5,22,3501ft,75ft,122.8,"3B0, 02/20 35A, RW width: 75, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Spencer MA","60M",US,4217.390N,07157.880W,1050ft,5,10,1949ft,50ft,123.0,"MA10, 01/19 19S, RW width: 50, UNICOM: 123.0, Turn Point"
"Spencer VT","VT09",US,4406.880N,07317.370W,300ft,2,40,2000ft,50ft,,"VT09, Private, RW width: 50"
"Spruce","CT43",US,4135.617N,07155.867W,200ft,2,160,1725ft,150ft,,"CT43, Private, 16/34 17T, RW width: 150"
"Stanton","NY35",US,4145.000N,07406.983W,303ft,2,140,2400ft,23ft,,"NY35, Private, RW width: 23"
"Staton","VT53",US,4407.050N,07322.717W,141ft,2,80,1400ft,50ft,,"VT53, Private, RW width: 50"
"Steck Farm","NH78",US,4244.830N,07122.140W,460ft,2,50,1500ft,25ft,,"NH78, Private, 05/23 15T, RW width: 25"
"Stephen A Bean","8B0",US,4459.517N,07039.883W,1825ft,5,139,3201ft,75ft,122.8,"8B0, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
